gene,count
gene_230,291
gene_232,269
gene_5380,263
gene_19035,261
gene_4041,260
gene_6566,252
gene_4053,236
gene_17077,225
gene_14218,220
gene_15300,191
gene_19652,185
gene_6857,184
gene_18392,182
gene_11422,179
gene_6698,177
gene_4042,173
gene_8146,168
gene_552,162
gene_15242,159
gene_8127,141
gene_3371,137
gene_1322,136
gene_7148,132
gene_7899,121
gene_10916,120
gene_18039,115
gene_13801,112
gene_19739,106
gene_7112,105
gene_9230,104
gene_16338,99
gene_6694,99
gene_8128,94
gene_8131,92
gene_2505,91
gene_15314,87
gene_459,86
gene_289,80
gene_8137,79
gene_19375,78
gene_12851,66
gene_4066,66
gene_7898,65
gene_10394,62
gene_1317,62
gene_15254,60
gene_8324,60
gene_15272,59
gene_7900,59
gene_6215,58
gene_15225,57
gene_10503,56
gene_3932,53
gene_15589,52
gene_18570,52
gene_15250,51
gene_4421,51
gene_10194,49
gene_1200,49
gene_18949,49
gene_9229,48
gene_15316,47
gene_8323,47
gene_15229,46
gene_15227,45
gene_17257,44
gene_18103,44
gene_4897,43
gene_15281,42
gene_2914,42
gene_7155,41
gene_4419,40
gene_15793,39
gene_15204,37
gene_3325,36
gene_3629,36
gene_4210,36
gene_16344,35
gene_905,35
gene_878,34
gene_13176,32
gene_18388,31
gene_12841,30
gene_17738,30
gene_3251,30
gene_3929,29
gene_4160,29
gene_15245,28
gene_15444,28
gene_4401,28
gene_17374,27
gene_15244,26
gene_15280,26
gene_5234,26
gene_18930,25
gene_4143,25
gene_5678,25
gene_15284,24
gene_322,24
gene_439,23
gene_6536,23
gene_6976,23
gene_15253,22
gene_17155,22
gene_11029,21
gene_15273,21
gene_15299,21
gene_15576,21
gene_3869,21
gene_4033,20
gene_5727,20
gene_6535,20
gene_6876,20
gene_861,20
gene_10407,19
gene_15275,19
gene_9254,19
gene_11014,18
gene_1507,18
gene_15190,18
gene_4790,18
gene_34,17
gene_3541,17
gene_4061,17
gene_5590,17
gene_15197,16
gene_17643,16
gene_11358,15
gene_14022,15
gene_15216,15
gene_15586,15
gene_18403,15
gene_4474,15
gene_6688,15
gene_9226,15
gene_12065,13
gene_1502,13
gene_17970,13
gene_4054,13
gene_13462,12
gene_15188,12
gene_15202,12
gene_16414,12
gene_16432,12
gene_228,12
gene_2831,12
gene_4397,12
gene_4709,12
gene_5542,12
gene_8143,12
gene_9483,12
gene_15199,11
gene_15243,11
gene_15287,11
gene_17352,11
gene_4564,11
gene_7971,11
gene_8259,11
gene_9267,11
gene_15449,10
gene_17645,10
gene_17920,10
gene_2504,10
gene_2939,10
gene_4405,10
gene_4911,10
gene_6592,10
gene_1348,9
gene_15220,9
gene_15636,9
gene_17173,9
gene_17219,9
gene_19034,9
gene_7988,9
gene_8266,9
gene_8268,9
gene_14276,8
gene_15217,8
gene_15237,8
gene_15303,8
gene_15792,8
gene_15949,8
gene_1621,8
gene_17230,8
gene_5386,8
gene_5455,8
gene_773,8
gene_7912,8
gene_8988,8
gene_9419,8
gene_1075,7
gene_11432,7
gene_11619,7
gene_15189,7
gene_15277,7
gene_2544,7
gene_4299,7
gene_5407,7
gene_8197,7
gene_8564,7
gene_9225,7
gene_13382,6
gene_14082,6
gene_14484,6
gene_15255,6
gene_15434,6
gene_18158,6
gene_18433,6
gene_243,6
gene_3306,6
gene_3640,6
gene_4062,6
gene_5432,6
gene_5840,6
gene_7034,6
gene_9228,6
gene_11070,5
gene_11373,5
gene_11379,5
gene_11698,5
gene_118,5
gene_11947,5
gene_12749,5
gene_12990,5
gene_13498,5
gene_13916,5
gene_15236,5
gene_15247,5
gene_17613,5
gene_18746,5
gene_19661,5
gene_2835,5
gene_2958,5
gene_3289,5
gene_3443,5
gene_3693,5
gene_4052,5
gene_4240,5
gene_4598,5
gene_5297,5
gene_5384,5
gene_5488,5
gene_6790,5
gene_9269,5
gene_10109,4
gene_10521,4
gene_10856,4
gene_11353,4
gene_11355,4
gene_11539,4
gene_12182,4
gene_12320,4
gene_13413,4
gene_14064,4
gene_14946,4
gene_15297,4
gene_15317,4
gene_1554,4
gene_15865,4
gene_1648,4
gene_18038,4
gene_18125,4
gene_18538,4
gene_18547,4
gene_18994,4
gene_3288,4
gene_3353,4
gene_3692,4
gene_4565,4
gene_5475,4
gene_6031,4
gene_6236,4
gene_838,4
gene_9421,4
gene_10406,3
gene_10452,3
gene_10522,3
gene_10741,3
gene_10943,3
gene_11425,3
gene_11817,3
gene_12006,3
gene_12214,3
gene_12750,3
gene_13243,3
gene_13278,3
gene_13302,3
gene_14191,3
gene_14347,3
gene_14384,3
gene_15195,3
gene_16340,3
gene_16538,3
gene_17076,3
gene_17274,3
gene_17922,3
gene_18501,3
gene_18548,3
gene_18793,3
gene_19020,3
gene_3362,3
gene_3540,3
gene_4205,3
gene_4248,3
gene_4534,3
gene_4698,3
gene_531,3
gene_5381,3
gene_5501,3
gene_5704,3
gene_6451,3
gene_6563,3
gene_7218,3
gene_7499,3
gene_7982,3
gene_8254,3
gene_8318,3
gene_8721,3
