gene,count
gene_18392,75
gene_230,75
gene_5380,73
gene_232,72
gene_3540,69
gene_15242,67
gene_15314,65
gene_15300,64
gene_6857,62
gene_6698,61
gene_552,59
gene_15272,56
gene_8146,56
gene_15444,50
gene_11422,49
gene_15229,45
gene_19739,45
gene_13413,44
gene_15250,44
gene_18570,43
gene_19035,43
gene_1200,42
gene_15245,41
gene_4041,40
gene_9229,40
gene_1322,39
gene_4053,39
gene_7899,39
gene_7155,38
gene_8131,38
gene_8127,37
gene_15281,36
gene_8128,36
gene_3541,35
gene_15254,34
gene_15197,29
gene_5829,29
gene_15244,27
gene_12320,26
gene_15202,26
gene_15236,26
gene_15316,26
gene_15253,25
gene_17937,25
gene_15299,23
gene_2914,23
gene_15225,21
gene_12851,20
gene_1621,20
gene_289,20
gene_3371,20
gene_5590,20
gene_7900,20
gene_17077,19
gene_3325,19
gene_3640,19
gene_9483,19
gene_14218,18
gene_15227,18
gene_15204,17
gene_243,17
gene_6566,16
gene_18388,15
gene_9528,15
gene_15188,14
gene_4042,14
gene_6694,14
gene_7971,14
gene_15280,13
gene_15284,13
gene_7148,13
gene_10452,12
gene_11353,12
gene_11355,12
gene_9467,12
gene_15189,11
gene_15224,11
gene_15243,11
gene_19373,11
gene_773,11
gene_8318,11
gene_9232,11
gene_14823,10
gene_15275,10
gene_16228,10
gene_18930,10
gene_439,10
gene_15190,9
gene_15317,9
gene_19734,9
gene_10194,8
gene_11411,8
gene_19034,8
gene_11619,7
gene_14819,7
gene_15247,7
gene_15273,7
gene_15303,7
gene_3354,7
gene_7898,7
gene_8137,7
gene_8161,7
gene_13517,6
gene_14818,6
gene_15220,6
gene_15792,6
gene_3845,6
gene_4805,6
gene_7395,6
gene_9275,6
gene_13278,5
gene_14449,5
gene_15277,5
gene_15336,5
gene_17257,5
gene_5747,5
gene_8665,5
gene_878,5
gene_9465,5
gene_9529,5
gene_11029,4
gene_11409,4
gene_11432,4
gene_1272,4
gene_14946,4
gene_15199,4
gene_17645,4
gene_18949,4
gene_3813,4
gene_5017,4
gene_5386,4
gene_5475,4
gene_6314,4
gene_6535,4
gene_7912,4
gene_8268,4
gene_11434,3
gene_14347,3
gene_15198,3
gene_15297,3
gene_15576,3
gene_17920,3
gene_18810,3
gene_19020,3
gene_228,3
gene_233,3
gene_3542,3
gene_4419,3
gene_4421,3
gene_4804,3
gene_4866,3
gene_5519,3
gene_7591,3
gene_9230,3
gene_1133,2
gene_12009,2
gene_13176,2
gene_13916,2
gene_13976,2
gene_15255,2
gene_15283,2
gene_16227,2
gene_17036,2
gene_17147,2
gene_17173,2
gene_17922,2
gene_17929,2
gene_18476,2
gene_18546,2
gene_19503,2
gene_34,2
gene_3443,2
gene_3619,2
gene_3843,2
gene_3973,2
gene_4340,2
gene_4401,2
gene_5388,2
gene_5432,2
gene_6222,2
gene_761,2
gene_7965,2
gene_8259,2
gene_8323,2
gene_10109,1
gene_11222,1
gene_11439,1
gene_11452,1
gene_11780,1
gene_11798,1
gene_11990,1
gene_11999,1
gene_12045,1
gene_12091,1
gene_13243,1
gene_13552,1
gene_13574,1
gene_13847,1
gene_14026,1
gene_14276,1
gene_14473,1
gene_14644,1
gene_14821,1
gene_15216,1
gene_15217,1
gene_15219,1
gene_15232,1
gene_15285,1
gene_15286,1
gene_15287,1
gene_15711,1
gene_15793,1
gene_16233,1
gene_16258,1
gene_1648,1
gene_17076,1
gene_17817,1
gene_18403,1
gene_18471,1
gene_19023,1
gene_19036,1
gene_19661,1
gene_19702,1
gene_2504,1
gene_2834,1
gene_2844,1
gene_2896,1
gene_2901,1
gene_2939,1
gene_3691,1
gene_3692,1
gene_3803,1
gene_4054,1
gene_4187,1
gene_4405,1
gene_5384,1
gene_5455,1
gene_5500,1
gene_5678,1
gene_6592,1
gene_7112,1
gene_7218,1
gene_7238,1
gene_766,1
gene_7914,1
gene_8143,1
gene_8240,1
gene_8266,1
gene_8324,1
gene_838,1
gene_8722,1
gene_9074,1
