gene,count
gene_6857,144
gene_19035,143
gene_19375,142
gene_230,137
gene_6698,137
gene_5380,135
gene_7899,131
gene_17077,129
gene_3371,129
gene_552,126
gene_9483,119
gene_15242,104
gene_11422,101
gene_6566,100
gene_14218,98
gene_5590,98
gene_17173,92
gene_11698,84
gene_1322,82
gene_34,82
gene_15792,79
gene_18392,76
gene_18570,76
gene_7900,74
gene_7898,73
gene_8326,73
gene_2505,71
gene_14923,70
gene_15272,70
gene_4421,70
gene_7396,67
gene_4419,66
gene_2504,61
gene_18039,60
gene_11713,58
gene_7155,56
gene_8131,56
gene_4054,54
gene_3932,47
gene_232,46
gene_7912,46
gene_8322,45
gene_17937,43
gene_8664,43
gene_6694,41
gene_15314,40
gene_19357,40
gene_8146,40
gene_661,39
gene_3251,38
gene_5271,35
gene_13302,34
gene_19153,33
gene_885,33
gene_1621,32
gene_8323,32
gene_8324,30
gene_2914,29
gene_3325,28
gene_19464,27
gene_13498,26
gene_1502,26
gene_5620,25
gene_2831,24
gene_2939,24
gene_18388,21
gene_289,21
gene_15245,20
gene_18476,20
gene_1200,17
gene_16088,17
gene_228,17
gene_4053,16
gene_459,16
gene_12841,15
gene_4041,15
gene_6417,15
gene_15204,14
gene_7148,14
gene_15281,13
gene_16998,13
gene_10194,12
gene_19034,12
gene_5432,12
gene_878,12
gene_13613,11
gene_4274,11
gene_134,10
gene_15316,10
gene_17947,10
gene_6592,10
gene_13185,9
gene_15227,9
gene_15300,9
gene_19151,9
gene_4205,9
gene_6688,9
gene_862,9
gene_13413,8
gene_15217,8
gene_15814,8
gene_16342,8
gene_17076,8
gene_17292,8
gene_4055,8
gene_441,8
gene_4442,8
gene_838,8
gene_15250,7
gene_15254,7
gene_15275,7
gene_16132,7
gene_18103,7
gene_5455,7
gene_6370,7
gene_8137,7
gene_9119,7
gene_13222,6
gene_15190,6
gene_15197,6
gene_15277,6
gene_11749,5
gene_14766,5
gene_15243,5
gene_15247,5
gene_17219,5
gene_4474,5
gene_535,5
gene_761,5
gene_7905,5
gene_8128,5
gene_8163,5
gene_13640,4
gene_15220,4
gene_15237,4
gene_15244,4
gene_15284,4
gene_2152,4
gene_6369,4
gene_6733,4
gene_6884,4
gene_6931,4
gene_7265,4
gene_773,4
gene_8628,4
gene_8721,4
gene_12091,3
gene_12304,3
gene_14834,3
gene_15280,3
gene_15444,3
gene_17930,3
gene_18762,3
gene_18930,3
gene_19885,3
gene_2151,3
gene_5430,3
gene_5599,3
gene_6535,3
gene_6543,3
gene_7273,3
gene_7490,3
gene_7591,3
gene_871,3
gene_9528,3
gene_10209,2
gene_10266,2
gene_10844,2
gene_10943,2
gene_11014,2
gene_11279,2
gene_1204,2
gene_12045,2
gene_12061,2
gene_14651,2
gene_14942,2
gene_1507,2
gene_15189,2
gene_15286,2
gene_15287,2
gene_15317,2
gene_17257,2
gene_17562,2
gene_17645,2
gene_18003,2
gene_18037,2
gene_18217,2
gene_18595,2
gene_19344,2
gene_19661,2
gene_19739,2
gene_2811,2
gene_3366,2
gene_3472,2
gene_3619,2
gene_4167,2
gene_4401,2
gene_491,2
gene_5386,2
gene_6410,2
gene_6589,2
gene_7112,2
gene_7655,2
gene_775,2
gene_7913,2
gene_7916,2
gene_8063,2
gene_8320,2
gene_8643,2
gene_865,2
gene_9540,2
gene_10394,1
gene_10407,1
gene_1075,1
gene_10916,1
gene_11249,1
gene_11271,1
gene_11409,1
gene_11434,1
gene_11947,1
gene_11965,1
gene_12006,1
gene_1219,1
gene_1247,1
gene_1250,1
gene_12745,1
gene_12903,1
gene_13109,1
gene_132,1
gene_13215,1
gene_13482,1
gene_13574,1
gene_13898,1
gene_14121,1
gene_14322,1
gene_14422,1
gene_14822,1
gene_14950,1
gene_15186,1
gene_15188,1
gene_15199,1
gene_15202,1
gene_15216,1
gene_15225,1
gene_15229,1
gene_15236,1
gene_15253,1
gene_15283,1
gene_15291,1
gene_15297,1
gene_15299,1
gene_15315,1
gene_15460,1
gene_15461,1
gene_15581,1
gene_15643,1
gene_15753,1
gene_15755,1
gene_15812,1
gene_16372,1
gene_16397,1
gene_16402,1
gene_16474,1
gene_1680,1
gene_1685,1
gene_17170,1
gene_17207,1
gene_18044,1
gene_18158,1
gene_18433,1
gene_18900,1
gene_18949,1
gene_19220,1
gene_19343,1
gene_19449,1
gene_19577,1
gene_19868,1
gene_200,1
gene_213,1
gene_2711,1
gene_2835,1
gene_3019,1
gene_3258,1
gene_3306,1
gene_3353,1
gene_3388,1
gene_3439,1
gene_3618,1
gene_3629,1
gene_3638,1
gene_3645,1
gene_3803,1
gene_3843,1
gene_3958,1
gene_4065,1
gene_4066,1
gene_4273,1
gene_4340,1
gene_4356,1
gene_4425,1
gene_4426,1
gene_4433,1
gene_4482,1
gene_4528,1
gene_4748,1
gene_4837,1
gene_531,1
gene_5376,1
gene_5388,1
gene_5746,1
gene_5836,1
gene_6031,1
gene_611,1
gene_6442,1
gene_6677,1
gene_6827,1
gene_6935,1
gene_7189,1
gene_7218,1
gene_7462,1
gene_7499,1
gene_7611,1
gene_7785,1
gene_7914,1
gene_7954,1
gene_8061,1
gene_8070,1
gene_8097,1
gene_8127,1
gene_8143,1
gene_8154,1
gene_8318,1
gene_8334,1
gene_841,1
gene_842,1
gene_8433,1
gene_8518,1
gene_855,1
gene_857,1
gene_858,1
gene_859,1
gene_864,1
gene_8802,1
gene_9201,1
gene_9229,1
gene_9230,1
gene_9267,1
gene_9390,1
gene_9393,1
gene_9406,1
gene_9627,1
