gene,count
gene_230,138
gene_6698,131
gene_232,119
gene_18392,111
gene_289,109
gene_6566,104
gene_3371,100
gene_19035,97
gene_15896,94
gene_5380,92
gene_10194,91
gene_14218,89
gene_15444,83
gene_16283,78
gene_11422,76
gene_4421,75
gene_7899,74
gene_3541,72
gene_7900,71
gene_15242,68
gene_6694,66
gene_6857,66
gene_1322,64
gene_552,64
gene_17077,63
gene_4053,59
gene_4041,58
gene_15300,57
gene_15272,54
gene_5590,54
gene_7912,52
gene_15898,51
gene_15899,51
gene_18570,47
gene_4419,45
gene_7112,44
gene_17643,42
gene_8128,40
gene_18388,38
gene_34,36
gene_7898,36
gene_8131,36
gene_10218,33
gene_11355,33
gene_13639,32
gene_11550,31
gene_3540,31
gene_15314,30
gene_8146,30
gene_15250,29
gene_17173,29
gene_12851,26
gene_13176,26
gene_13298,26
gene_13413,26
gene_1200,25
gene_19739,25
gene_8127,25
gene_2914,24
gene_12841,22
gene_15281,22
gene_15591,22
gene_7155,22
gene_15204,21
gene_15316,21
gene_838,21
gene_9267,20
gene_15253,19
gene_15792,19
gene_15897,19
gene_2504,19
gene_15254,18
gene_17257,18
gene_19375,18
gene_773,17
gene_9229,16
gene_9483,16
gene_11249,14
gene_15229,14
gene_15299,14
gene_18998,13
gene_4897,13
gene_6369,13
gene_6410,13
gene_8143,13
gene_10407,12
gene_15227,12
gene_15284,12
gene_17155,12
gene_9230,12
gene_15245,11
gene_7148,11
gene_15236,10
gene_4422,10
gene_8137,10
gene_8334,10
gene_887,10
gene_11352,9
gene_15225,9
gene_15449,9
gene_18039,9
gene_18949,9
gene_19652,9
gene_2939,9
gene_7591,9
gene_8324,9
gene_13498,8
gene_3618,8
gene_4042,8
gene_439,8
gene_885,8
gene_905,8
gene_11029,7
gene_12290,7
gene_15188,7
gene_15237,7
gene_15244,7
gene_17219,7
gene_18930,7
gene_4054,7
gene_7913,7
gene_11432,6
gene_15190,6
gene_15275,6
gene_15277,6
gene_15303,6
gene_15590,6
gene_1621,6
gene_17510,6
gene_19577,6
gene_2895,6
gene_2906,6
gene_4066,6
gene_4169,6
gene_4187,6
gene_4205,6
gene_4210,6
gene_513,6
gene_6215,6
gene_6535,6
gene_9394,6
gene_9484,6
gene_10452,5
gene_11798,5
gene_12870,5
gene_13574,5
gene_15224,5
gene_15273,5
gene_15279,5
gene_15643,5
gene_17145,5
gene_17292,5
gene_17925,5
gene_17937,5
gene_18103,5
gene_3354,5
gene_3692,5
gene_3932,5
gene_4405,5
gene_5455,5
gene_6370,5
gene_8321,5
gene_9255,5
gene_12029,4
gene_14022,4
gene_14473,4
gene_15197,4
gene_15220,4
gene_15243,4
gene_15287,4
gene_17947,4
gene_18403,4
gene_243,4
gene_3034,4
gene_3629,4
gene_3640,4
gene_3929,4
gene_4172,4
gene_4790,4
gene_514,4
gene_7504,4
gene_7914,4
gene_7998,4
gene_9638,4
gene_10741,3
gene_10844,3
gene_11250,3
gene_1204,3
gene_1317,3
gene_13179,3
gene_13243,3
gene_13543,3
gene_13569,3
gene_13632,3
gene_13801,3
gene_13866,3
gene_15021,3
gene_15189,3
gene_15202,3
gene_15232,3
gene_15280,3
gene_15317,3
gene_15336,3
gene_15453,3
gene_15617,3
gene_15777,3
gene_16474,3
gene_18805,3
gene_2277,3
gene_353,3
gene_3693,3
gene_4167,3
gene_4252,3
gene_4401,3
gene_4425,3
gene_4474,3
gene_5234,3
gene_638,3
gene_7058,3
gene_7218,3
gene_8049,3
gene_8259,3
gene_8323,3
gene_878,3
gene_9467,3
gene_1038,2
gene_10394,2
gene_1104,2
gene_11252,2
gene_11411,2
gene_11425,2
gene_11698,2
gene_12045,2
gene_12070,2
gene_12091,2
gene_12173,2
gene_1224,2
